iter	Logloss
0	0.6811383343
1	0.6695912014
2	0.6582548943
3	0.6474614389
4	0.6369645902
5	0.6265885119
6	0.6169714378
7	0.6069214236
8	0.5976242628
9	0.5883020095
10	0.5793550866
11	0.5705226168
12	0.5618044687
13	0.5535403973
14	0.5455346772
15	0.5379881489
16	0.5305440762
17	0.5230255544
18	0.5158067363
19	0.5090883469
20	0.5026301565
21	0.4961178108
22	0.4897183379
23	0.4836002292
24	0.4777743992
25	0.4720194116
26	0.4663820914
27	0.4611415009
28	0.4559638286
29	0.4510485377
30	0.4461099547
31	0.4413248506
32	0.4366125311
33	0.4319526899
34	0.4274549323
35	0.423177082
36	0.4188173349
37	0.4147441225
38	0.4107186516
39	0.4068460698
40	0.4031653271
41	0.399516401
42	0.3963561179
43	0.3929310324
44	0.3894471287
45	0.3861440632
46	0.3829110798
47	0.3797594588
48	0.3766376918
49	0.3736443361
50	0.3713035462
51	0.3685133407
52	0.3658618279
53	0.3633859662
54	0.3610538961
55	0.3584350938
56	0.356022697
57	0.3535876039
58	0.351406635
59	0.3492118232
60	0.3469947877
61	0.3447794293
62	0.3428782442
63	0.3408040404
64	0.3388736476
65	0.3369764144
66	0.335203619
67	0.3334128027
68	0.3316276306
69	0.3300958572
70	0.3285207701
71	0.3268153173
72	0.3250985782
73	0.3234723053
74	0.3219008989
75	0.3203686538
76	0.3189731883
77	0.3175937842
78	0.316160713
79	0.3148467352
80	0.313652074
81	0.3122879206
82	0.3112243648
83	0.3099726557
84	0.3088824508
85	0.3077403963
86	0.3065929555
87	0.3055411568
88	0.3045278722
89	0.3036445802
90	0.3025960049
91	0.3015939328
92	0.3007345464
93	0.2997371321
94	0.2988990106
95	0.2980062561
96	0.2971710477
97	0.2963409471
98	0.2954642139
99	0.294700969
100	0.2939296765
101	0.2933028607
102	0.2924948686
103	0.2917692388
104	0.29109212
105	0.2903628917
106	0.2896424498
107	0.28901869
108	0.2883356854
109	0.2878114917
110	0.2871720876
111	0.286538637
112	0.2859507145
113	0.28538921
114	0.284804476
115	0.2842326919
116	0.2836834552
117	0.2831569598
118	0.28263164
119	0.2821261403
120	0.2817418006
121	0.2812683713
122	0.2807656367
123	0.2802773956
124	0.2798197431
125	0.2793879137
126	0.2788785084
127	0.2785309236
128	0.2780806468
129	0.2777512576
130	0.2773087048
131	0.2769486088
132	0.276532962
133	0.2762292233
134	0.2758139618
135	0.2755268219
136	0.2751578859
137	0.2748502117
138	0.274583233
139	0.2742936178
140	0.2739574479
141	0.2736383217
142	0.273340218
143	0.2730282445
144	0.2727056988
145	0.2723960743
146	0.2720981637
147	0.2718250229
148	0.2715270671
149	0.2712340188
150	0.2709669487
151	0.2706677475
152	0.2704668415
153	0.2702001023
154	0.2699334175
155	0.2696773277
156	0.2694566046
157	0.2692125893
158	0.2689558265
159	0.2687566971
160	0.2685279181
161	0.2683129934
162	0.2680904783
163	0.2678917415
164	0.2676775895
165	0.2674879022
166	0.2673151733
167	0.2671138778
168	0.266930255
169	0.2667483163
170	0.2665222685
171	0.2663244297
172	0.2660928148
173	0.2659090943
174	0.2657439147
175	0.2655865496
176	0.2654355952
177	0.2652994261
178	0.2651407118
179	0.2649947451
180	0.2648853556
181	0.2647229596
182	0.2645612757
183	0.2644067763
184	0.2642703893
185	0.2641178115
186	0.2639816495
187	0.2638377369
188	0.2637463981
189	0.2636471391
190	0.2635296167
191	0.2634217675
192	0.2633181158
193	0.263195657
194	0.2630735847
195	0.262953292
196	0.2628461641
197	0.2627268723
198	0.2626027345
199	0.2624918767
200	0.262403264
201	0.2622919684
202	0.2622077731
203	0.2621239333
204	0.262033394
205	0.2619469618
206	0.2618449613
207	0.2617550477
208	0.2616267382
209	0.2615560314
210	0.2614588459
211	0.2613783508
212	0.2613059732
213	0.2612185904
214	0.2611435628
215	0.2610623186
216	0.2609836709
217	0.2609021246
218	0.2608260602
219	0.2607523211
220	0.2606840998
221	0.2605910297
222	0.2605303989
223	0.260454578
224	0.2603807967
225	0.2603069878
226	0.2602569118
227	0.2601779559
228	0.260113517
229	0.2600656759
230	0.2600032254
231	0.2599414221
232	0.2598793024
233	0.259817008
234	0.2597480336
235	0.2596798483
236	0.2596478405
237	0.2596044795
238	0.2595596759
239	0.2595004692
240	0.2594348014
241	0.2593821699
242	0.2593209123
243	0.259277876
244	0.2592036139
245	0.2591412352
246	0.2590958212
247	0.2590399273
248	0.25899133
249	0.258947185
250	0.2589083924
251	0.2588599738
252	0.2588082898
253	0.2587708104
254	0.2587220445
255	0.2586733968
256	0.2586376776
257	0.2586068834
258	0.2585642293
259	0.2585380898
260	0.2584948377
261	0.2584507214
262	0.2584172926
263	0.2583787148
264	0.258335402
265	0.2582998616
266	0.2582543191
267	0.2582054937
268	0.2581685322
269	0.2581364001
270	0.2580924821
271	0.2580618728
272	0.25802475
273	0.2579772788
274	0.2579347368
275	0.2579053626
276	0.2578477116
277	0.2578139776
278	0.2577873623
279	0.2577624117
280	0.2577233838
281	0.2576734137
282	0.2576495656
283	0.2576276719
284	0.2575975743
285	0.2575645318
286	0.2575303138
287	0.2574975159
288	0.2574654937
289	0.257441809
290	0.2574207743
291	0.2573885775
292	0.2573535344
293	0.2573207611
294	0.2572989116
295	0.2572730947
296	0.2572505875
297	0.2572216357
298	0.2571903451
299	0.2571646608
300	0.2571169564
301	0.2570854172
302	0.2570571147
303	0.2570406587
304	0.2570073758
305	0.2569908325
306	0.256964397
307	0.2569326133
308	0.2569058562
309	0.2568889553
310	0.2568637488
311	0.2568322517
312	0.2568002275
313	0.256779834
314	0.256749271
315	0.2567297437
316	0.2567012418
317	0.2566756582
318	0.256651094
319	0.2566233885
320	0.2566007025
321	0.25657669
322	0.2565542188
323	0.2565323159
324	0.256509296
325	0.2564754304
326	0.2564572656
327	0.256439069
328	0.2564212669
329	0.2564061518
330	0.2563821578
331	0.2563645366
332	0.2563416647
333	0.2563258149
334	0.2563087321
335	0.2562927509
336	0.2562696282
337	0.2562466237
338	0.2562296478
339	0.2562148574
340	0.2561974366
341	0.2561789666
342	0.2561608994
343	0.2561251648
344	0.2561049583
345	0.2560838167
346	0.2560669322
347	0.2560484232
348	0.2560262695
349	0.2560047509
350	0.2559876825
351	0.2559713775
352	0.2559533484
353	0.2559340985
354	0.2559070702
355	0.2558950973
356	0.2558724648
357	0.2558454817
358	0.2558304735
359	0.2558128379
360	0.2557969213
361	0.2557750523
362	0.2557608784
363	0.2557489076
364	0.2557340751
365	0.2557152743
366	0.2556827898
367	0.2556701922
368	0.2556538153
369	0.2556395284
370	0.2556252292
371	0.2556059136
372	0.2555884229
373	0.2555671457
374	0.2555546621
