iter	Passed	Remaining
0	26	53472
1	51	51463
2	74	49861
3	95	47550
4	112	44832
5	129	42925
6	146	41807
7	164	40916
8	182	40460
9	201	40001
10	220	39890
11	239	39689
12	259	39605
13	277	39379
14	296	39210
15	314	39001
16	333	38919
17	353	38894
18	372	38843
19	389	38601
20	407	38396
21	426	38320
22	445	38328
23	465	38306
24	484	38238
25	503	38201
26	521	38128
27	540	38052
28	558	37987
29	575	37801
30	594	37732
31	613	37706
32	630	37581
33	650	37589
34	670	37651
35	690	37658
36	709	37649
37	728	37594
38	745	37500
39	764	37480
40	788	37670
41	810	37801
42	831	37824
43	850	37813
44	870	37804
45	889	37781
46	909	37776
47	930	37821
48	951	37875
49	970	37868
50	991	37894
51	1010	37847
52	1028	37793
53	1047	37743
54	1065	37696
55	1084	37633
56	1101	37558
57	1120	37520
58	1138	37444
59	1155	37375
60	1174	37338
61	1193	37321
62	1213	37325
63	1232	37277
64	1249	37206
65	1268	37166
66	1287	37151
67	1307	37138
68	1325	37089
69	1343	37055
70	1362	37021
71	1381	36995
72	1400	36975
73	1419	36943
74	1436	36875
75	1455	36835
76	1473	36795
77	1491	36754
78	1510	36738
79	1532	36788
80	1550	36736
81	1568	36698
82	1586	36633
83	1605	36619
84	1623	36585
85	1642	36548
86	1660	36509
87	1679	36499
88	1697	36446
89	1715	36401
90	1734	36379
91	1753	36358
92	1771	36325
93	1790	36302
94	1809	36277
95	1829	36278
96	1848	36267
97	1868	36257
98	1886	36223
99	1903	36167
100	1921	36133
101	1939	36095
102	1959	36084
103	1979	36081
104	2000	36104
105	2018	36073
106	2038	36061
107	2057	36051
108	2076	36022
109	2094	35993
110	2113	35961
111	2132	35939
112	2151	35927
113	2170	35916
114	2191	35921
115	2210	35902
116	2229	35874
117	2247	35852
118	2268	35855
119	2287	35830
120	2306	35820
121	2325	35789
122	2344	35782
123	2364	35771
124	2384	35761
125	2405	35770
126	2426	35783
127	2445	35761
128	2462	35708
129	2480	35683
130	2499	35656
131	2518	35633
132	2538	35638
133	2557	35609
134	2577	35612
135	2595	35578
136	2613	35544
137	2632	35515
138	2649	35472
139	2669	35460
140	2687	35437
141	2708	35433
142	2727	35423
143	2747	35413
144	2766	35390
145	2784	35361
146	2803	35339
147	2822	35317
148	2841	35302
149	2861	35295
150	2882	35296
151	2901	35281
152	2922	35281
153	2940	35249
154	2958	35221
155	2979	35222
156	2998	35197
157	3018	35192
158	3038	35176
159	3058	35172
160	3076	35137
161	3095	35118
162	3114	35095
163	3133	35078
164	3153	35068
165	3171	35040
166	3190	35018
167	3209	34995
168	3229	34988
169	3248	34972
170	3269	34967
171	3288	34945
172	3306	34919
173	3325	34895
174	3345	34886
175	3364	34863
176	3383	34848
177	3403	34833
178	3422	34816
179	3441	34801
180	3461	34785
181	3480	34765
182	3499	34749
183	3519	34734
184	3537	34710
185	3555	34675
186	3575	34665
187	3595	34656
188	3614	34632
189	3633	34611
190	3652	34591
191	3672	34584
192	3692	34574
193	3710	34539
194	3730	34529
195	3749	34511
196	3767	34485
197	3786	34460
198	3806	34450
199	3823	34412
200	3841	34378
201	3861	34367
202	3880	34351
203	3899	34334
204	3919	34322
205	3939	34305
206	3958	34286
207	3978	34273
208	3996	34250
209	4016	34235
210	4036	34223
211	4055	34204
212	4072	34170
213	4092	34154
214	4112	34147
215	4134	34148
216	4155	34146
217	4176	34136
218	4194	34112
219	4214	34100
220	4233	34082
221	4253	34067
222	4271	34039
223	4290	34014
224	4308	33992
225	4329	33983
226	4347	33952
227	4365	33928
228	4385	33915
229	4402	33880
230	4420	33852
231	4439	33834
232	4459	33816
233	4478	33797
234	4496	33772
235	4517	33765
236	4536	33745
237	4556	33730
238	4575	33713
239	4595	33700
240	4614	33682
241	4634	33663
242	4654	33653
243	4674	33644
244	4694	33629
245	4718	33642
246	4739	33636
247	4758	33617
248	4783	33635
249	4805	33637
250	4827	33637
251	4849	33635
252	4869	33621
253	4887	33596
254	4908	33589
255	4928	33578
256	4948	33558
257	4969	33553
258	4987	33528
259	5006	33502
260	5025	33483
261	5044	33461
262	5062	33436
263	5082	33418
264	5099	33386
265	5117	33357
266	5137	33344
267	5157	33329
268	5176	33309
269	5195	33289
270	5212	33256
271	5230	33229
272	5249	33206
273	5268	33184
274	5286	33157
275	5303	33130
276	5323	33111
277	5342	33090
278	5359	33061
279	5376	33025
280	5397	33016
281	5415	32993
282	5434	32970
283	5458	32979
284	5481	32985
285	5499	32960
286	5515	32921
287	5534	32900
288	5553	32876
289	5570	32845
290	5588	32820
291	5608	32808
292	5628	32788
293	5645	32759
294	5664	32736
295	5680	32702
296	5700	32685
297	5718	32658
298	5735	32628
299	5751	32593
300	5769	32565
301	5786	32535
302	5803	32505
303	5821	32475
304	5840	32455
305	5856	32418
306	5873	32392
307	5892	32371
308	5911	32348
309	5930	32330
310	5948	32307
311	5967	32286
312	5985	32263
313	6003	32235
314	6022	32213
315	6038	32180
316	6057	32158
317	6075	32137
318	6093	32107
319	6112	32090
320	6130	32066
321	6150	32049
322	6170	32035
323	6187	32008
324	6203	31974
325	6221	31944
326	6237	31913
327	6256	31895
328	6275	31875
329	6293	31846
330	6311	31825
331	6329	31801
332	6348	31778
333	6367	31759
334	6386	31740
335	6405	31721
336	6426	31711
337	6448	31706
338	6464	31672
339	6482	31648
340	6502	31633
341	6521	31614
342	6541	31599
343	6558	31570
344	6576	31548
345	6593	31520
346	6610	31488
347	6624	31449
348	6642	31425
349	6660	31399
350	6678	31377
351	6697	31357
352	6715	31334
353	6733	31308
354	6753	31295
355	6770	31267
356	6789	31246
357	6808	31229
358	6824	31194
359	6841	31168
360	6858	31139
361	6876	31112
362	6893	31088
363	6911	31061
364	6928	31037
365	6944	31005
366	6961	30977
367	6978	30950
368	6997	30929
369	7016	30909
370	7030	30871
371	7049	30849
372	7065	30820
373	7083	30795
374	7100	30767
375	7118	30746
376	7135	30720
377	7153	30695
378	7171	30670
379	7188	30643
380	7204	30614
381	7220	30583
382	7236	30553
383	7252	30521
384	7269	30493
385	7286	30467
386	7303	30442
387	7320	30413
388	7335	30379
389	7353	30356
390	7370	30331
391	7387	30304
392	7406	30284
393	7425	30267
394	7444	30247
395	7464	30233
396	7479	30199
397	7496	30173
398	7516	30160
399	7537	30149
400	7559	30143
401	7581	30137
402	7601	30122
403	7621	30107
404	7646	30115
405	7674	30129
406	7698	30132
407	7729	30158
408	7753	30162
409	7775	30154
410	7795	30138
411	7814	30118
412	7830	30091
413	7850	30074
414	7868	30052
415	7885	30026
416	7901	29996
417	7921	29979
418	7941	29966
419	7960	29946
420	7987	29958
421	8010	29953
422	8032	29947
423	8050	29923
424	8067	29898
425	8084	29871
426	8104	29854
427	8122	29833
428	8141	29812
429	8160	29795
